date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5-Day-SMA,20-Day-SMA
2023-07-17,93.41,93.55,91.04,92.25,17317289,93.41,93.55,91.04,92.25,17317289,0.0,1.0,,
2023-07-18,91.2,92.21,90.15,91.54,20249720,91.2,92.21,90.15,91.54,20249720,0.0,1.0,,
2023-07-19,92.09,94.71,92.09,93.57,17228055,92.09,94.71,92.09,93.57,17228055,0.0,1.0,,
2023-07-20,91.9,93.12,91.35,91.69,14752965,91.9,93.12,91.35,91.69,14752965,0.0,1.0,,
2023-07-21,92.17,93.23,91.54,92.89,13899064,92.17,93.23,91.54,92.89,13899064,0.0,1.0,92.154,
2023-07-24,96.35,97.4686,91.3,92.07,33376076,96.35,97.4686,91.3,92.07,33376076,0.0,1.0,92.742,
2023-07-25,94.98,98.49,94.61,98.17,25827317,94.98,98.49,94.61,98.17,25827317,0.0,1.0,93.498,
2023-07-26,97.14,97.545,94.84,94.95,15833421,97.14,97.545,94.84,94.95,15833421,0.0,1.0,94.50800000000001,
2023-07-27,95.44,97.99,95.1612,97.75,18685523,95.44,97.99,95.1612,97.75,18685523,0.0,1.0,95.216,
2023-07-28,100.55,101.22,97.96,98.07,31956520,100.55,101.22,97.96,98.07,31956520,0.0,1.0,96.892,
2023-07-31,102.16,102.5,99.72,99.79,17726466,102.16,102.5,99.72,99.79,17726466,0.0,1.0,98.054,
2023-08-01,100.1,101.16,99.3,99.87,14418435,100.1,101.16,99.3,99.87,14418435,0.0,1.0,99.078,
2023-08-02,95.07,97.74,94.56,97.72,19452332,95.07,97.74,94.56,97.72,19452332,0.0,1.0,98.664,
2023-08-03,97.58,98.49,96.58,96.71,15462655,97.58,98.49,96.58,96.71,15462655,0.0,1.0,99.092,
2023-08-04,96.9,98.49,96.69,97.735,13477295,96.9,98.49,96.69,97.735,13477295,0.0,1.0,98.362,
2023-08-07,96.56,97.8,95.03,97.78,13893855,96.56,97.8,95.03,97.78,13893855,0.0,1.0,97.242,
2023-08-08,94.22,94.48,92.9218,93.51,13504738,94.22,94.48,92.9218,93.51,13504738,0.0,1.0,96.066,
2023-08-09,94.85,96.3,94.08,96.025,18640070,94.85,96.3,94.08,96.025,18640070,0.0,1.0,96.022,
2023-08-10,99.21,101.84,97.12,98.31,53193104,99.21,101.84,97.12,98.31,53193104,0.0,1.0,96.348,
2023-08-11,95.72,97.65,94.34,97.34,25222754,95.72,97.65,94.34,97.34,25222754,0.0,1.0,96.112,95.88
2023-08-14,93.46,94.45,92.53,94.24,17580971,93.46,94.45,92.53,94.24,17580971,0.0,1.0,95.492,95.8825
2023-08-15,91.59,93.01,90.7446,93.0,14756289,91.59,93.01,90.7446,93.0,14756289,0.0,1.0,94.966,95.902
2023-08-16,89.12,90.5,88.29,89.63,23292415,89.12,90.5,88.29,89.63,23292415,0.0,1.0,93.82000000000001,95.7535
2023-08-17,90.65,91.95,90.26,91.94,15732323,90.65,91.95,90.26,91.94,15732323,0.0,1.0,92.10799999999999,95.691
2023-08-18,88.03,88.36,86.86,87.78,20424821,88.03,88.36,86.86,87.78,20424821,0.0,1.0,90.57000000000001,95.48400000000001
2023-08-21,88.57,88.82,87.22,87.6,14167291,88.57,88.82,87.22,87.6,14167291,0.0,1.0,89.592,95.095
2023-08-22,88.08,89.49,87.86,89.28,11611582,88.08,89.49,87.86,89.28,11611582,0.0,1.0,88.89,94.75
2023-08-23,89.84,90.59,88.31,88.37,12185729,89.84,90.59,88.31,88.37,12185729,0.0,1.0,89.034,94.385
2023-08-24,89.11,90.92,89.04,90.49,10684541,89.11,90.92,89.04,90.49,10684541,0.0,1.0,88.726,94.0685
2023-08-25,89.82,90.04,88.27,89.25,11382199,89.82,90.04,88.27,89.25,11382199,0.0,1.0,89.08399999999999,93.532
2023-08-28,92.24,92.77,91.29,91.5,14613754,92.24,92.77,91.29,91.5,14613754,0.0,1.0,89.818,93.03599999999999
2023-08-29,94.03,94.095,92.34,93.45,16927977,94.03,94.095,92.34,93.45,16927977,0.0,1.0,91.00800000000001,92.73249999999999
2023-08-30,93.65,94.25,92.47,92.55,13779899,93.65,94.25,92.47,92.55,13779899,0.0,1.0,91.77,92.6615
2023-08-31,92.9,93.36,92.16,92.98,13332433,92.9,93.36,92.16,92.98,13332433,0.0,1.0,92.528,92.42750000000001
2023-09-01,95.01,96.68,94.52,94.55,17470363,95.01,96.68,94.52,94.55,17470363,0.0,1.0,93.566,92.333
2023-09-05,94.65,95.3921,94.07,94.53,10097585,94.65,95.3921,94.07,94.53,10097585,0.0,1.0,94.048,92.2375
2023-09-06,94.45,95.8,94.13,94.15,10123603,94.45,95.8,94.13,94.15,10123603,0.0,1.0,94.132,92.249
2023-09-07,89.97,91.76,88.955,91.64,18667208,89.97,91.76,88.955,91.64,18667208,0.0,1.0,93.396,92.005
2023-09-08,90.05,90.3,88.73,89.6,10343582,90.05,90.3,88.73,89.6,10343582,0.0,1.0,92.826,91.547
2023-09-11,88.71,90.35,87.71,89.73,15773514,88.71,90.35,87.71,89.73,15773514,0.0,1.0,91.566,91.1965
2023-09-12,88.3,89.96,88.18,88.19,10262471,88.3,89.96,88.18,88.19,10262471,0.0,1.0,90.29599999999999,90.9385
2023-09-13,87.64,88.29,87.382,87.94,10634898,87.64,88.29,87.382,87.94,10634898,0.0,1.0,88.934,90.741
